Ceremony	Year	Class	CanonicalCategory	Category	Film	FilmId	Name	Nominees	NomineeIds	Winner	Detail	Note	Citation
1	1927/28	Acting	ACTOR IN A LEADING ROLE	ACTOR	The Noose|The Patent Leather Kid	tt0019217|tt0018253	Richard Barthelmess	Richard Barthelmess	nm0001932		Nickie Elkins|The Patent Leather Kid		
1	1927/28	Acting	ACTOR IN A LEADING ROLE	ACTOR	The Last Command|The Way of All Flesh	tt0019071|tt0019553	Emil Jannings	Emil Jannings	nm0417837	True	General Dolgorucki [Grand Duke Sergius Alexander]|August Schilling		
1	1927/28	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	A Ship Comes In	tt0018389	Louise Dresser	Louise Dresser	nm0237571		Mrs. Pleznik		
1	1927/28	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	7th Heaven|Street Angel|Sunrise	tt0018379|tt0019429|tt0018455	Janet Gaynor	Janet Gaynor	nm0310980	True	Diane|Angela|The Wife		
1	1927/28	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	Sadie Thompson	tt0019344	Gloria Swanson	Gloria Swanson	nm0841797		Sadie Thompson		
1	1927/28	Production	ART DIRECTION	ART DIRECTION	Sunrise	tt0018455	Rochus Gliese	Rochus Gliese	nm0322843				
1	1927/28	Production	ART DIRECTION	ART DIRECTION	The Dove|Tempest	tt0017822|tt0019451	William Cameron Menzies	William Cameron Menzies	nm0580017	True			
1	1927/28	Production	ART DIRECTION	ART DIRECTION	7th Heaven	tt0018379	Harry Oliver	Harry Oliver	nm0646856				
1	1927/28	Production	CINEMATOGRAPHY	CINEMATOGRAPHY	The Devil Dancer|The Magic Flame|Sadie Thompson	tt0017806|tt0018129|tt0019344	George Barnes	George Barnes	nm0055604				
1	1927/28	Production	CINEMATOGRAPHY	CINEMATOGRAPHY	Sunrise	tt0018455	Charles Rosher						
1	1927/28	Directing	DIRECTING (Comedy Picture)	DIRECTING (Comedy Picture)	Two Arabian Knights	tt0018515	Lewis Milestone	Lewis Milestone	nm0587277	True			
1	1927/28	Directing	DIRECTING (Comedy Picture)	DIRECTING (Comedy Picture)	Speedy	tt0019412	Ted Wilde	Ted Wilde	nm0928514				
1	1927/28	Directing	DIRECTING (Dramatic Picture)	DIRECTING (Dramatic Picture)	7th Heaven	tt0018379	Frank Borzage	Frank Borzage	nm0097648	True			
1	1927/28	Directing	DIRECTING (Dramatic Picture)	DIRECTING (Dramatic Picture)	Sorrell and Son	tt0018429	Herbert Brenon	Herbert Brenon	nm0107543				
1	1927/28	Directing	DIRECTING (Dramatic Picture)	DIRECTING (Dramatic Picture)	The Crowd	tt0018806	King Vidor	King Vidor	nm0896542				
1	1927/28	Production	VISUAL EFFECTS	ENGINEERING EFFECTS			Ralph Hammeras	Ralph Hammeras	nm0358518			NOTE: This nomination was not associated with any specific film title.	
1	1927/28	Production	VISUAL EFFECTS	ENGINEERING EFFECTS	Wings	tt0018578	Roy Pomeroy	Roy Pomeroy	nm0690120	True			
1	1927/28	Production	VISUAL EFFECTS	ENGINEERING EFFECTS			Nugent Slaughter	Nugent Slaughter	nm0805521			NOTE: Though no specific titles were indicated during the presentation on May 16	
1	1927/28	Title	BEST PICTURE	OUTSTANDING PICTURE	The Racket	tt0019304	The Caddo Company	The Caddo Company	co0074827				
1	1927/28	Title	BEST PICTURE	OUTSTANDING PICTURE	7th Heaven	tt0018379	Fox	Fox	co0028775				
1	1927/28	Title	BEST PICTURE	OUTSTANDING PICTURE	Wings	tt0018578	Paramount Famous Lasky	Paramount Famous Lasky	co0023400	True			
